溢出	7T_Interactive_Graphical_SCATA_File_Buffer_Overflows	CVE-2011-1567	IGSS是用于监控工业流程的SCADA系统。7-Technologies Interactive Graphical SCADA System（IGSS）的IGSSdataServer.exe 9.00.00.11063及之前版本中存在多个基于栈的缓冲区溢出漏洞。远程攻击者可以借助向TCP端口12401传递的多个命令导致拒绝服务，并可能执行任意代码。这些命令包括：0xd操作码中的（1）ListAll，（2）Write File，（3）ReadFile，（4）Delete，（5）RenameFile，及（6）FileInfo命令；RMS报告模板（0x7）操作码中的（7）the Add，（8）ReadFile，（9）Write File，（10）Rename，（11）Delete，（12）Add命令；（13）STDREP请求(0x8)操作码中的0x4命令。	远程攻击者可以借助向TCP端口12401传递的多个命令导致拒绝服务，并可能执行任意代码。这些命令包括：0xd操作码中的（1）ListAll，（2）Write File，（3）ReadFile，（4）Delete，（5）RenameFile，及（6）FileInfo命令；RMS报告模板（0x7）操作码中的（7）the Add，（8）ReadFile，（9）Write File，（10）Rename，（11）Delete，（12）Add命令；（13）STDREP请求(0x8)操作码中的0x4命令。	目前厂商已经发布了升级补丁以修复此安全问题，补丁获取链接:http://www.igss.com/download/free-scada.aspx
信息泄露	Activist_Mobilization_Platform(AMP)_base_php_base_path_Parameter_PHP_File_include	CVE-2007-1571	Radical Designs Activist Mobilization Platform (AMP) 3.2版本的includes/base.php中存在PHP远程文件包含漏洞。当register_globals被启用时，远程攻击者可以借助base_path参数中的一个URL，执行任意的PHP代码。	当register_globals被启用时，远程攻击者可以借助base_path参数中的一个URL，执行任意的PHP代码。	目前厂商已经发布了升级补丁以修复此安全问题，补丁获取链接:暂无数据
命令执行	Adobe_Acrobat_getAnnots_Remote_Code_Execution_(HTTP)	CVE-2009-1492	Adobe Reader和Acrobat 9.1, 8.1.4, 7.1.1及之前版本中的JavaScript API采用getAnnots Doc方式。远程攻击者可以借助一个PDF文件，引起拒绝服务攻击(内存破坏)或执行任意代码。该PDF文件包含一个注释，拥有一个带有JavaScript代码的OpenAction入口。而该JavaScript代码会利用特制的整数自变量呼叫该方式。	远程攻击者可以借助一个PDF文件，引起拒绝服务攻击(内存破坏)或执行任意代码。该PDF文件包含一个注释，拥有一个带有JavaScript代码的OpenAction入口。而该JavaScript代码会利用特制的整数自变量呼叫该方式。	目前厂商已经发布了升级补丁以修复此安全问题，补丁获取链接:http://www.adobe.com/support/security/bulletins/apsb09-06.html
命令执行	Adobe_Acrobat_getAnnots_Remote_Code_Execution_(IMAP4_Base64)	CVE-2009-1492	Adobe Reader和Acrobat 9.1, 8.1.4, 7.1.1及之前版本中的JavaScript API采用getAnnots Doc方式。远程攻击者可以借助一个PDF文件，引起拒绝服务攻击(内存破坏)或执行任意代码。该PDF文件包含一个注释，拥有一个带有JavaScript代码的OpenAction入口。而该JavaScript代码会利用特制的整数自变量呼叫该方式。	远程攻击者可以借助一个PDF文件，引起拒绝服务攻击(内存破坏)或执行任意代码。该PDF文件包含一个注释，拥有一个带有JavaScript代码的OpenAction入口。而该JavaScript代码会利用特制的整数自变量呼叫该方式。	目前厂商已经发布了升级补丁以修复此安全问题，补丁获取链接:http://www.adobe.com/support/security/bulletins/apsb09-06.html
命令执行	Adobe_Acrobat_getAnnots_Remote_Code_Execution_(IMAP4_Quoted_Printable)	CVE-2009-1492	Adobe Reader和Acrobat 9.1, 8.1.4, 7.1.1及之前版本中的JavaScript API采用getAnnots Doc方式。远程攻击者可以借助一个PDF文件，引起拒绝服务攻击(内存破坏)或执行任意代码。该PDF文件包含一个注释，拥有一个带有JavaScript代码的OpenAction入口。而该JavaScript代码会利用特制的整数自变量呼叫该方式。	远程攻击者可以借助一个PDF文件，引起拒绝服务攻击(内存破坏)或执行任意代码。该PDF文件包含一个注释，拥有一个带有JavaScript代码的OpenAction入口。而该JavaScript代码会利用特制的整数自变量呼叫该方式。	目前厂商已经发布了升级补丁以修复此安全问题，补丁获取链接:http://www.adobe.com/support/security/bulletins/apsb09-06.html
命令执行	Adobe_Acrobat_getAnnots_Remote_Code_Execution_(POP3_Base64)	CVE-2009-1492	Adobe Reader和Acrobat 9.1, 8.1.4, 7.1.1及之前版本中的JavaScript API采用getAnnots Doc方式。远程攻击者可以借助一个PDF文件，引起拒绝服务攻击(内存破坏)或执行任意代码。该PDF文件包含一个注释，拥有一个带有JavaScript代码的OpenAction入口。而该JavaScript代码会利用特制的整数自变量呼叫该方式。	远程攻击者可以借助一个PDF文件，引起拒绝服务攻击(内存破坏)或执行任意代码。该PDF文件包含一个注释，拥有一个带有JavaScript代码的OpenAction入口。而该JavaScript代码会利用特制的整数自变量呼叫该方式。	目前厂商已经发布了升级补丁以修复此安全问题，补丁获取链接:http://www.adobe.com/support/security/bulletins/apsb09-06.html
命令执行	Adobe_Acrobat_getAnnots_Remote_Code_Execution_(POP3_Quoted_Printable)	CVE-2009-1492	Adobe Reader和Acrobat 9.1, 8.1.4, 7.1.1及之前版本中的JavaScript API采用getAnnots Doc方式。远程攻击者可以借助一个PDF文件，引起拒绝服务攻击(内存破坏)或执行任意代码。该PDF文件包含一个注释，拥有一个带有JavaScript代码的OpenAction入口。而该JavaScript代码会利用特制的整数自变量呼叫该方式。	远程攻击者可以借助一个PDF文件，引起拒绝服务攻击(内存破坏)或执行任意代码。该PDF文件包含一个注释，拥有一个带有JavaScript代码的OpenAction入口。而该JavaScript代码会利用特制的整数自变量呼叫该方式。	目前厂商已经发布了升级补丁以修复此安全问题，补丁获取链接:http://www.adobe.com/support/security/bulletins/apsb09-06.html
命令执行	Adobe_Acrobat_getAnnots_Remote_Code_Execution_(SMTP_Base64)	CVE-2009-1492	Adobe Reader和Acrobat 9.1, 8.1.4, 7.1.1及之前版本中的JavaScript API采用getAnnots Doc方式。远程攻击者可以借助一个PDF文件，引起拒绝服务攻击(内存破坏)或执行任意代码。该PDF文件包含一个注释，拥有一个带有JavaScript代码的OpenAction入口。而该JavaScript代码会利用特制的整数自变量呼叫该方式。	远程攻击者可以借助一个PDF文件，引起拒绝服务攻击(内存破坏)或执行任意代码。该PDF文件包含一个注释，拥有一个带有JavaScript代码的OpenAction入口。而该JavaScript代码会利用特制的整数自变量呼叫该方式。	目前厂商已经发布了升级补丁以修复此安全问题，补丁获取链接:http://www.adobe.com/support/security/bulletins/apsb09-06.html
命令执行	Adobe_Acrobat_getAnnots_Remote_Code_Execution_(SMTP_Quoted_Printable)	CVE-2009-1492	Adobe Reader和Acrobat 9.1, 8.1.4, 7.1.1及之前版本中的JavaScript API采用getAnnots Doc方式。远程攻击者可以借助一个PDF文件，引起拒绝服务攻击(内存破坏)或执行任意代码。该PDF文件包含一个注释，拥有一个带有JavaScript代码的OpenAction入口。而该JavaScript代码会利用特制的整数自变量呼叫该方式。	远程攻击者可以借助一个PDF文件，引起拒绝服务攻击(内存破坏)或执行任意代码。该PDF文件包含一个注释，拥有一个带有JavaScript代码的OpenAction入口。而该JavaScript代码会利用特制的整数自变量呼叫该方式。	目前厂商已经发布了升级补丁以修复此安全问题，补丁获取链接:http://www.adobe.com/support/security/bulletins/apsb09-06.html
命令执行	Adobe_Acrobat_getAnnots_Remote_Code_Execution_(SMTP_UUEncode)	CVE-2009-1492	Adobe Reader和Acrobat 9.1, 8.1.4, 7.1.1及之前版本中的JavaScript API采用getAnnots Doc方式。远程攻击者可以借助一个PDF文件，引起拒绝服务攻击(内存破坏)或执行任意代码。该PDF文件包含一个注释，拥有一个带有JavaScript代码的OpenAction入口。而该JavaScript代码会利用特制的整数自变量呼叫该方式。	远程攻击者可以借助一个PDF文件，引起拒绝服务攻击(内存破坏)或执行任意代码。该PDF文件包含一个注释，拥有一个带有JavaScript代码的OpenAction入口。而该JavaScript代码会利用特制的整数自变量呼叫该方式。	目前厂商已经发布了升级补丁以修复此安全问题，补丁获取链接:http://www.adobe.com/support/security/bulletins/apsb09-06.html
