1,通用协议,dns、dhcp等
2,即时通信,msn、qq、微信网页版等
3,文件传输,ftp、迅载网盘、百度下吧、qq文件传输、RaySource等
4,门户网站,新浪网、腾讯网、人民网、搜狐网等
5,阅读,起点、纵横、红袖添香等
6,微博,新浪微博、搜狐微博、网易微博等
7,地图导航,百度地图、搜狗地图、google地图等
8,视频,优酷视频、土豆视频、百度视频、凤凰视频、乐视tv等
9,音乐,酷狗、酷我、ttplayer、爱音乐、唱吧等
10,电子邮件,pop3、smtp、pop3s、smtps、imap、imaps、gmail邮箱、163邮箱等
11,下载工具,迅雷、emule、bt、汉魅p2p资源分享等
12,搜索工具,百度搜索、google搜索、搜狗搜索、宜搜等
13,金融证券,同花顺、指南针、益盟操盘手、申银万国、广发证券、长江交易等
14,网络游戏,反恐精英、梦幻西游、劲舞团、三国演义、qq农场、诛仙等
15,网络安全,360杀毒、360安全卫士、金山卫士、NOD32、赛门铁克杀毒等
16,数据库,mysql、cisco、postgresql等
17,终端控制,telnet、远程桌面等
18,网络监控与管理,SNMP、网维大师等
19,其他HTTP应用,http_other等
20,其他非移动互联网应用,null
21,移动互联网通用协议,dns、sctp、ip_in_ip等
22,移动互联网门户网站,新浪网、腾讯网、人民网、搜狐网等
23,移动互联网即时通信,移动版qq、微信等
24,移动互联网阅读,移动版起点中文网、纵横中文网、手机阅读、网上书城等
25,移动互联网微博,移动版新浪微博、腾讯微博等
26,移动互联网导航,移动版高德导航、图吧导航、百度地图、导航犬、搜狗地图等
27,移动互联网视频,移动版优酷、搜狐视频、移动视频门户等
28,移动互联网音乐,移动版酷狗、酷我、百度音乐等
29,移动互联网应用商店,Mobile Market、Android应用商店、App Store、豌豆荚、360手机助手等
30,移动互联网游戏,dota传奇、qq游戏等
31,移动互联网邮箱,移动版139邮箱、网易邮箱等
32,移动互联网VoIP业务,Viber、skype、手机YY等
33,移动互联网彩信,彩信、手机报等
34,移动互联网存储与下载,移动版百度云盘、浏览器下载等
35,移动互联网搜索,易查手机搜索、神马搜索等
36,移动互联网理财,手机支付宝、手机银行、掌上生活、手机股市、手机炒股、手机版财付通、大智慧等
37,移动互联网安全杀毒,手机安全卫士、安卓卫士、来电防火墙、qq安全中心等
38,其他移动互联网应用,null
